userName, nameOfTest, eventID, bounds, type, allRight, allWrong, typeRightBoundsWrong, boundsRightTypeWrong, NoAttempt, startError, endError, shown, numOfOverlappedLabels
aqua 2,drywall-blue,1,0,1,0,0,1,0,0,-0.06895447,13.191246,Both,1
aqua 2,drywall-blue,2,0,1,0,0,1,0,0,-4.40197,0.43725586,Both,1
aqua 2,drywall-blue,-1,0,0,0,0,0,0,1,0.0,0.0,Both,0
aqua 2,drywall-blue,3,0,1,0,0,1,0,0,0.86657715,1.5648346,Both,1
aqua 2,drywall-blue,-1,0,0,0,0,0,0,1,0.0,0.0,Both,0
aqua 2,drywall-blue,4,0,1,0,0,1,0,0,-4.770584,2.1161652,Both,1
aqua 2,drywall-blue,5,0,1,0,0,1,0,0,-0.22268677,4.1460876,Both,1
aqua 2,drywall-blue,6,0,1,0,0,1,0,0,2.4655762,-8.493164,Both,1
aqua 2,drywall-blue,-1,0,0,0,0,0,0,1,0.0,0.0,Both,0
aqua 2,drywall-blue,7,0,0,0,0,0,0,1,0.0,0.0,Both,0
aqua 2,drywall-blue,8,0,0,0,0,0,0,1,0.0,0.0,Both,0
aqua 2,drywall-blue,9,0,0,0,0,0,0,1,0.0,0.0,Both,0
aqua 2,drywall-blue,10,0,0,0,0,0,0,1,0.0,0.0,Both,0
aqua 2,drywall-blue,11,0,0,0,0,0,0,1,0.0,0.0,Both,0
aqua 2,drywall-blue,12,0,0,0,0,0,0,1,0.0,0.0,Both,0
aqua 2,drywall-blue,13,0,0,0,0,0,0,1,0.0,0.0,Both,0
aqua 2,drywall-blue,14,0,0,0,0,0,0,1,0.0,0.0,Both,0
aqua 2,drywall-blue,15,0,0,0,0,0,0,1,0.0,0.0,Both,0
aqua 2,drywall-blue,16,0,0,0,0,0,0,1,0.0,0.0,Both,0
aqua 2,drywall-blue,17,0,0,0,0,0,0,1,0.0,0.0,Both,0
aqua 2,drywall-blue,18,0,0,0,0,0,0,1,0.0,0.0,Both,0
aqua 2,drywall-blue,19,0,0,0,0,0,0,1,0.0,0.0,Both,0
aqua 2,drywall-blue,20,0,0,0,0,0,0,1,0.0,0.0,Both,0
aqua 2,drywall-blue,21,0,0,0,0,0,0,1,0.0,0.0,Both,0
aqua 2,drywall-blue,22,0,0,0,0,0,0,1,0.0,0.0,Both,0
aqua 2,drywall-blue,23,0,0,0,0,0,0,1,0.0,0.0,Both,0
aqua 2,drywall-blue,24,0,0,0,0,0,0,1,0.0,0.0,Both,0
aqua 2,drywall-blue,25,0,0,0,0,0,0,1,0.0,0.0,Both,0
aqua 2,drywall-blue,26,0,0,0,0,0,0,1,0.0,0.0,Both,0
aqua 2,drywall-blue,27,0,0,0,0,0,0,1,0.0,0.0,Both,0
aqua 2,drywall-blue,28,0,0,0,0,0,0,1,0.0,0.0,Both,0
aqua 2,drywall-blue,29,0,0,0,0,0,0,1,0.0,0.0,Both,0
aqua 2,drywall-blue,30,0,0,0,0,0,0,1,0.0,0.0,Both,0
aqua 2,drywall-blue,31,0,0,0,0,0,0,1,0.0,0.0,Both,0
aqua 2,drywall-blue,32,0,0,0,0,0,0,1,0.0,0.0,Both,0
aqua 2,drywall-blue,33,0,0,0,0,0,0,1,0.0,0.0,Both,0
aqua 2,drywall-blue,34,0,0,0,0,0,0,1,0.0,0.0,Both,0
aqua 2,drywall-blue,35,0,0,0,0,0,0,1,0.0,0.0,Both,0
aqua 2,drywall-blue,36,0,0,0,0,0,0,1,0.0,0.0,Both,0
blue 4,drywall-blue,1,0,1,0,0,1,0,0,-0.08622742,14.187111,Both,1
blue 4,drywall-blue,2,0,1,0,0,1,0,0,-4.419243,1.4331207,Both,1
blue 4,drywall-blue,3,0,1,0,0,1,0,0,1.1768951,1.1782837,Both,1
blue 4,drywall-blue,5,0,1,0,0,1,0,0,-4.253372,1.3930054,Both,1
blue 4,drywall-blue,16,0,1,0,0,1,0,0,-1.3242188,11.508972,Both,1
blue 4,drywall-blue,17,0,1,0,0,1,0,0,-10.912262,5.257141,Both,1
blue 4,drywall-blue,18,0,1,0,0,1,0,0,-14.288666,-0.17178345,Both,1
blue 4,drywall-blue,4,0,0,0,0,0,0,1,0.0,0.0,Both,0
blue 4,drywall-blue,6,0,0,0,0,0,0,1,0.0,0.0,Both,0
blue 4,drywall-blue,7,0,0,0,0,0,0,1,0.0,0.0,Both,0
blue 4,drywall-blue,8,0,0,0,0,0,0,1,0.0,0.0,Both,0
blue 4,drywall-blue,9,0,0,0,0,0,0,1,0.0,0.0,Both,0
blue 4,drywall-blue,10,0,0,0,0,0,0,1,0.0,0.0,Both,0
blue 4,drywall-blue,11,0,0,0,0,0,0,1,0.0,0.0,Both,0
blue 4,drywall-blue,12,0,0,0,0,0,0,1,0.0,0.0,Both,0
blue 4,drywall-blue,13,0,0,0,0,0,0,1,0.0,0.0,Both,0
blue 4,drywall-blue,14,0,0,0,0,0,0,1,0.0,0.0,Both,0
blue 4,drywall-blue,15,0,0,0,0,0,0,1,0.0,0.0,Both,0
blue 4,drywall-blue,19,0,0,0,0,0,0,1,0.0,0.0,Both,0
blue 4,drywall-blue,20,0,0,0,0,0,0,1,0.0,0.0,Both,0
blue 4,drywall-blue,21,0,0,0,0,0,0,1,0.0,0.0,Both,0
blue 4,drywall-blue,22,0,0,0,0,0,0,1,0.0,0.0,Both,0
blue 4,drywall-blue,23,0,0,0,0,0,0,1,0.0,0.0,Both,0
blue 4,drywall-blue,24,0,0,0,0,0,0,1,0.0,0.0,Both,0
blue 4,drywall-blue,25,0,0,0,0,0,0,1,0.0,0.0,Both,0
blue 4,drywall-blue,26,0,0,0,0,0,0,1,0.0,0.0,Both,0
blue 4,drywall-blue,27,0,0,0,0,0,0,1,0.0,0.0,Both,0
blue 4,drywall-blue,28,0,0,0,0,0,0,1,0.0,0.0,Both,0
blue 4,drywall-blue,29,0,0,0,0,0,0,1,0.0,0.0,Both,0
blue 4,drywall-blue,30,0,0,0,0,0,0,1,0.0,0.0,Both,0
blue 4,drywall-blue,31,0,0,0,0,0,0,1,0.0,0.0,Both,0
blue 4,drywall-blue,32,0,0,0,0,0,0,1,0.0,0.0,Both,0
blue 4,drywall-blue,33,0,0,0,0,0,0,1,0.0,0.0,Both,0
blue 4,drywall-blue,34,0,0,0,0,0,0,1,0.0,0.0,Both,0
blue 4,drywall-blue,35,0,0,0,0,0,0,1,0.0,0.0,Both,0
blue 4,drywall-blue,36,0,0,0,0,0,0,1,0.0,0.0,Both,0
blue3,drywall-blue,16,0,0,0,1,0,0,0,2.027771,0.43151855,Both,1
blue3,drywall-blue,17,0,0,0,1,0,0,0,0.7569275,5.2779846,Both,1
blue3,drywall-blue,18,0,0,0,1,0,0,0,-2.6194763,-0.15093994,Both,1
blue3,drywall-blue,1,0,0,0,0,0,0,1,0.0,0.0,Both,0
blue3,drywall-blue,2,0,0,0,0,0,0,1,0.0,0.0,Both,0
blue3,drywall-blue,3,0,0,0,0,0,0,1,0.0,0.0,Both,0
blue3,drywall-blue,4,0,0,0,0,0,0,1,0.0,0.0,Both,0
blue3,drywall-blue,5,0,0,0,0,0,0,1,0.0,0.0,Both,0
blue3,drywall-blue,6,0,0,0,0,0,0,1,0.0,0.0,Both,0
blue3,drywall-blue,7,0,0,0,0,0,0,1,0.0,0.0,Both,0
